QuarterID,GameID,Number,Name,AwayScore,HomeScore
55304,14140,2,2,33,30
55305,14140,3,3,33,28
55306,14140,4,4,23,21
55307,14141,1,1,28,28
55308,14141,2,2,29,24
55309,14141,3,3,20,27
55310,14141,4,4,27,37
55311,14142,1,1,27,40
55312,14142,2,2,29,32
55313,14142,3,3,31,28
55314,14142,4,4,22,34
55315,14145,1,1,27,36
55316,14145,2,2,29,31
55317,14145,3,3,27,37
55318,14145,4,4,31,22
55319,14143,1,1,25,26
55320,14143,2,2,27,25
55321,14143,3,3,29,24
55322,14143,4,4,27,31
55323,14144,1,1,31,23
55324,14144,2,2,24,30
55325,14144,3,3,15,25
55326,14144,4,4,18,25
55327,14147,1,1,22,19
55328,14147,2,2,24,34
55329,14147,3,3,29,22
55330,14147,4,4,27,28
55331,14146,1,1,38,30
55332,14146,2,2,16,34
55333,14146,3,3,39,26
55334,14146,4,4,32,23
55335,14149,1,1,34,28
55336,14149,2,2,15,23
55337,14149,3,3,31,30
55338,14149,4,4,16,20
55339,14148,1,1,31,36
55340,14148,2,2,27,33
55341,14148,3,3,24,29
55342,14148,4,4,18,19
55343,14151,1,1,25,23
55344,14151,2,2,32,25
55345,14151,3,3,26,42
55346,14151,4,4,35,32
55347,14150,1,1,27,28
55348,14150,2,2,35,26
55349,14150,3,3,30,18
55350,14150,4,4,25,22
55351,14152,1,1,25,22
55352,14152,2,2,29,34
55353,14152,3,3,32,26
55354,14152,4,4,28,22
55355,14153,1,1,25,28
55356,14153,2,2,28,31
55357,14153,3,3,21,24
55358,14153,4,4,26,14
55359,14154,1,1,34,27
55360,14154,2,2,28,19
55361,14154,3,3,31,31
55362,14154,4,4,21,22
55363,14155,1,1,23,25
55364,14155,2,2,24,39
55365,14155,3,3,22,22
55366,14155,4,4,35,31
55367,14157,1,1,27,27
55368,14157,2,2,32,25
55369,14157,3,3,28,21
55370,14157,4,4,29,31
55371,14160,1,1,32,31
55372,14158,1,1,20,21
55373,14158,2,2,23,32
55374,14158,3,3,37,36
55375,14158,4,4,22,32
55376,14159,1,1,18,25
55377,14159,2,2,28,22
55378,14159,3,3,19,29
55379,14159,4,4,26,21
55380,14160,2,2,28,24
55381,14160,3,3,20,31
55382,14160,4,4,21,16
55383,14156,1,1,23,30
55384,14156,2,2,40,27
55385,14156,3,3,23,34
55386,14156,4,4,24,30
55387,14161,1,1,29,21
55388,14161,2,2,17,37
55389,14161,3,3,23,31
55390,14161,4,4,29,37
55391,14164,1,1,35,31
55392,14162,1,1,23,27
55393,14162,2,2,19,39
55394,14162,3,3,26,25
55395,14162,4,4,40,26
55396,14164,2,2,29,29
55397,14164,3,3,28,28
55398,14164,4,4,29,31
55399,14163,1,1,17,33
55400,14163,2,2,42,27
55401,14163,3,3,23,21
55402,14163,4,4,20,30
55403,14165,1,1,22,24
55404,14165,2,2,35,23
55405,14165,3,3,24,31
55406,14165,4,4,32,23
55407,14166,1,1,36,34
55408,14166,2,2,38,35
55409,14166,3,3,34,26
55410,14166,4,4,32,37
55411,14167,1,1,25,38
55412,14167,2,2,29,26
55413,14167,3,3,25,25
55414,14167,4,4,35,21
55415,14168,1,1,26,42
55416,14168,2,2,24,21
55417,14168,3,3,27,41
55418,14168,4,4,42,32
55419,14169,1,1,17,25
55420,14169,2,2,31,28
55421,14169,3,3,25,25
55422,14169,4,4,17,26
55423,14170,1,1,24,31
55424,14170,2,2,31,27
55425,14170,3,3,26,29
55426,14170,4,4,26,25
55427,14172,1,1,20,23
55428,14172,2,2,20,24
55429,14172,3,3,26,12
55430,14172,4,4,24,24
55431,14171,1,1,38,37
55432,14171,2,2,24,20
55433,14171,3,3,23,28
55434,14171,4,4,25,22
55435,14173,1,1,38,29
55436,14173,2,2,29,18
55437,14173,3,3,32,42
55438,14173,4,4,20,21
55439,14174,1,1,18,31
55440,14174,2,2,21,20
55441,14174,3,3,31,17
55442,14174,4,4,31,27
55443,14177,1,1,26,34
55444,14177,2,2,27,28
55445,14177,3,3,31,17
55446,14177,4,4,20,30
55447,14175,1,1,23,22
55448,14178,1,1,22,24
55449,14178,2,2,18,31
55450,14178,3,3,35,18
55451,14178,4,4,28,21
55452,14175,2,2,31,21
55453,14175,3,3,11,29
55454,14175,4,4,29,22
55455,14176,1,1,21,41
55456,14176,2,2,37,30
55457,14176,3,3,21,24
55458,14176,4,4,26,27
55459,14179,1,1,30,27
55460,14179,2,2,23,26
55461,14179,3,3,18,29
55462,14179,4,4,26,25
55463,14180,1,1,31,25
55464,14180,2,2,22,25
55465,14180,3,3,36,39
55466,14180,4,4,31,24
55467,14181,1,1,28,25
55468,14181,2,2,19,28
55469,14181,3,3,31,28
55470,14181,4,4,25,26
55471,14175,5,OT,10,11
55472,14182,1,1,23,37
55473,14182,2,2,26,33
55474,14182,3,3,30,35
55475,14182,4,4,24,20
55476,14183,1,1,27,17
55477,14183,2,2,30,23
55478,14183,3,3,18,27
55479,14183,4,4,15,23
55480,14184,1,1,29,38
55481,14184,2,2,36,27
55482,14184,3,3,28,28
55483,14184,4,4,23,26
55484,14183,5,OT,7,10
55485,14186,1,1,25,32
55486,14185,1,1,21,38
55487,14185,2,2,31,43
55488,14185,3,3,21,46
55489,14185,4,4,38,31
55490,14186,2,2,24,34
55491,14186,3,3,26,35
55492,14186,4,4,21,36
55493,14187,1,1,32,30
55494,14187,2,2,26,35
55495,14187,3,3,25,16
55496,14187,4,4,26,25
55497,14188,1,1,25,21
55498,14188,2,2,23,26
55499,14188,3,3,38,32
55500,14188,4,4,29,28
55501,14189,1,1,31,30
55502,14189,2,2,27,28
55503,14189,3,3,23,27
55504,14189,4,4,32,19
55505,14190,1,1,25,30
55506,14190,2,2,34,32
55507,14190,3,3,35,17
55508,14190,4,4,20,21
55509,14191,1,1,33,29
55510,14191,2,2,23,26
55511,14191,3,3,26,22
55512,14191,4,4,25,27
55513,14192,1,1,27,32
55514,14192,2,2,24,27
55515,14192,3,3,20,37
55516,14192,4,4,27,36
55517,14193,1,1,22,26
55518,14194,1,1,20,37
55519,14194,2,2,17,40
55520,14194,3,3,49,30
55521,14194,4,4,24,23
55522,14193,2,2,29,25
55523,14193,3,3,20,21
55524,14193,4,4,25,28
55525,14195,1,1,35,39
55526,14195,2,2,22,43
55527,14195,3,3,41,34
55528,14195,4,4,27,34
55529,14196,1,1,23,31
55530,14196,2,2,19,29
55531,14196,3,3,24,25
55532,14196,4,4,28,18
55533,14197,1,1,28,21
55534,14197,2,2,31,18
55535,14197,3,3,21,34
55536,14197,4,4,29,31
55537,14198,1,1,23,20
55538,14198,2,2,17,29
55539,14198,3,3,13,27
55540,14198,4,4,26,28
55541,14200,1,1,24,19
55542,14200,2,2,33,28
55543,14200,3,3,28,26
55544,14200,4,4,32,31
55545,14199,1,1,15,33
55546,14199,2,2,30,39
55547,14199,3,3,17,28
55548,14199,4,4,26,32
55549,14201,1,1,22,23
55550,14201,2,2,33,21
55551,14201,3,3,29,30
55552,14201,4,4,29,32
55553,14202,1,1,32,28
55554,14202,2,2,30,18
55555,14202,3,3,35,22
55556,14202,4,4,30,26
55557,14203,1,1,32,26
55558,14203,2,2,36,28
55559,14203,3,3,29,34
55560,14203,4,4,30,32
55561,14205,1,1,32,23
55562,14205,2,2,26,30
55563,14205,3,3,25,28
55564,14205,4,4,25,27
55565,14204,1,1,24,24
55566,14204,2,2,35,29
55567,14204,3,3,25,22
55568,14204,4,4,34,22
55569,14206,1,1,25,27
55570,14206,2,2,38,32
55571,14206,3,3,34,22
55572,14206,4,4,18,34
55573,14207,1,1,28,24
55574,14207,2,2,32,25
55575,14207,3,3,24,27
55576,14207,4,4,21,20
55577,14205,5,OT,13,2
55578,14208,1,1,30,29
55579,14208,2,2,29,33
55580,14208,3,3,17,27
55581,14208,4,4,21,28
55582,14206,5,OT,11,11
55583,14206,6,OT2,7,9
