StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
897684,19,20001408,2,2022,Rondae Hollis-Jefferson,POR,SF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897685,16,20001706,2,2022,Jake Layman,MIN,SF,0,4,37.90,43,30,8.00,13.00,61.5,6.00,7.00,85.7,2.00,6.00,33.3,3.00,4.00,75.0,0.00,7.00,7.00,1.00,3.00,1.00,1.00,4.00,21.00,41.90,39.75,-1.00,0.00,0.00
897686,18,20001999,2,2022,Shai Gilgeous-Alexander,OKC,SG,3,3,60.40,62,49,11.00,26.00,42.3,7.00,12.00,58.3,4.00,14.00,28.6,4.00,7.00,57.1,0.00,7.00,7.00,14.00,1.00,2.00,5.00,6.00,30.00,63.40,65.25,-8.00,0.00,0.00
897687,7,20002033,2,2022,Shake Milton,PHI,SG,1,2,23.10,44,42,3.00,11.00,27.3,1.00,6.00,16.7,2.00,5.00,40.0,0.00,0.00,0,0.00,3.00,3.00,9.00,1.00,0.00,4.00,1.00,8.00,24.10,26.25,-13.00,0.00,0.00
897688,18,20002169,2,2022,Paul Watson Jr.,OKC,PG,0,2,8.60,19,42,0.00,5.00,0,0.00,1.00,0,0.00,4.00,0,0.00,0.00,0,0.00,3.00,3.00,2.00,1.00,0.00,0.00,3.00,0.00,9.60,8.75,5.00,0.00,0.00
897689,3,20002276,2,2022,Cam Reddish,ATL,SF,1,4,71.10,91,47,18.00,52.00,34.6,10.00,24.00,41.7,8.00,28.00,28.6,2.00,2.00,100,1.00,7.00,8.00,1.00,9.00,1.00,6.00,9.00,46.00,81.10,78.50,-30.00,0.00,0.00
897690,23,20002378,2,2022,Jared Harper,NO,PG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897691,29,20002535,2,2022,Jalen Smith,PHO,PF,0,4,80.90,85,57,14.00,33.00,42.4,13.00,23.00,56.5,1.00,10.00,10.0,9.00,10.00,90.0,14.00,18.00,32.00,1.00,2.00,2.00,5.00,4.00,38.00,84.90,87.00,25.00,1.00,0.00
897692,16,20002603,2,2022,Nathan Knight,MIN,C,0,3,29.20,21,52,4.00,5.00,80.0,4.00,5.00,80.0,0.00,0.00,0,4.00,5.00,80.0,1.00,5.00,6.00,2.00,0.00,4.00,1.00,5.00,12.00,33.20,30.00,-3.00,0.00,0.00
897693,2,20002671,2,2022,James Bouknight,CHA,SG,0,4,81.00,95,2,23.00,51.00,45.1,20.00,36.00,55.6,3.00,15.00,20.0,14.00,15.00,93.3,2.00,8.00,10.00,4.00,4.00,1.00,10.00,5.00,63.00,86.00,88.00,-41.00,0.00,0.00
